#VARNUM,VARNAM,VARUNIT,SHORTNAME,DOMAIN,PRECISION,DECIMALS,REPORTFORM,UNITCODE,ACTIVE,ALPHAVAR,CATEGORY1,CATEGORY2,SPARE1,SPARE2,DBVER24,DATECREATE,TIMECREATE,USERCREATE,DATEMOD,TIMEMOD,USERMOD
510,Wind Speed (knots),knots,Wind Speed (knots),MET,1,0,RATE,KNOT,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
511,Wind Speed Hourly Average (km/h),km/hour,Wind Speed Hourly Av,OTH,0.1,1,RATE,KMH,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
512,Wind Speed Daily Average (km/h),km/hour,Wind Speed Daily Ave,OTH,0.1,1,RATE,KMH,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
515,Wind Velocity (m/s),m/s,Wind Velocity (m/s),MET,0.1,1,RATE,MS,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
516,Wind Velocity (km/h),km/hour,Wind Velocity (km/h),MET,0.001,3,RATE,KMH,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
517,Wind Velocity (km/d),km/day,Wind Velocity (km/d),MET,0.00001,5,LEVEL,KMD,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
518,Wind Velocity - Maximum (m/s),m/s,Wind Velocity - Maxi,OTH,0.1,1,RATE,MS,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
519,Wind Velocity - Minimum (m/s),m/s,Wind Velocity - Mini,OTH,0.1,1,RATE,MS,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
520,Anemometer (below 3m) Wind Run (km),km,Wind Run (below 3m),OTH,1,0,TOTAL,KM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
521,Average Vector Wind Speed (km/h),km/hour,Average Vector Wind,OTH,0.01,2,LEVEL,KMH,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
522,Anemometer (above 3m) Wind Run (km),km,Wind Run (above 3m),OTH,0.001,3,TOTAL,KM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
525,DELETE ME IF YOU FIND ME,hectopascal,Station Level Pressu,MET,0.1,1,LEVEL,HPA,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
550,Barometric Pressure (hPa),hectopascal,Baro Pressure (hPa),MET,0.1,1,LEVEL,HPA,T,,,,,,F,,0,,02/03/2012,1350,SPETCHEL
551,Water pressure (kPa),kPa,Water pressure (kPa),OTH,1,0,LEVEL,KP,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
552,Water Pressure (m),metres,Water Pressure (m),MET,0.0001,4,LEVEL,M,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
560,Surface Direction (\176),degrees,Surface Direction (d,OTH,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
570,Surface Temperature (\176C),Degrees celcius,Surface Temperature,MET,0.1,1,LEVEL,DEGC,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
600,Stream Cross Section Data (m),metres,Stream Cross Section,SW,0.001,3,LEVEL,M,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
630,Depth below water surface (m),metres,Depth (m),SW,0.00001,5,LEVEL,M,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
631,Distance from bottom (m),metres,Distance from bottom,SW,0.00001,5,LEVEL,M,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
660,Sunshine Duration in Hours,Time/0.1 Hour,Sunshine Duration in,OTH,0.1,1,TOTAL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
666,Conductivity & Temp. Quality Summary,\181S/cm @ 25\176C,Conductivity & Temp.,OTH,1,0,LEVEL,MISC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
700,Evaporation from a U.S. Class A Pan (mm),mm,Evaporation from a U,MET,0.1,1,RAIN,MM,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
701,Evaporation (mm),mm,Evaporation (mm),OTH,0.01,2,RAIN,MM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
702,Evapotranspiration (mm/d),mm/day,Evapotranspiration (,OTH,0.00001,5,RAIN,MMD,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
705,Derived Evaporation (mm),mm,Derived Evaporation,OTH,0.01,2,RAIN,MM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
710,Evaporation from Australian Standard Pan,mm,Evaporation from Aus,MET,0.1,1,RAIN,MM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
720,Effective Evaporation (Gl),gigalitres,Effective Evaporatio,MET,0.00001,5,LEVEL,GL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
740,Total Solar Radiation (Wh/m2),Watt hours/m2,Total Solar Radiatio,MET,0.001,3,TOTAL,WHSM,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
741,Total Solar Radiation Hourly (MJ/m2),MJ/m2,Total Solar Radiatio,OTH,0.001,3,LEVEL,MJSM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
742,Daily Solar Radiation (MJ/m2),MJ/m2,Daily Solar Radiatio,OTH,0.001,3,LEVEL,MJSM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
750,Solar Radiation Intensity (W/m2),Watts/m2,Solar Radiatn (W/m2),MET,1,0,LEVEL,WSM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
751,Solar Radition Intensity - Max (W/m2),Watts/m2,Solar Radition Inten,OTH,1,0,LEVEL,WSM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
752,Solar Radition Intensity - Min (W/m2),Watts/m2,Solar Radition Inten,OTH,1,0,LEVEL,WSM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
760,Soil Moisture (%),%,Soil Moisture (%),OTH,0.1,1,LEVEL,PERC,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
770,Horizontal Visibility,,Horizontal Visibilit,MET,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
772,Total Cloud Cover (okta),oktas,Total Cloud Cover (o,MET,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
774,Height of Cloud Base,,Height of Cloud Base,MET,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
776,Current Weather,,Current Weather,MET,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
778,Past Weather,,Past Weather,MET,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
782,Cloud Type Low,,Cloud Type Low,MET,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
784,Cloud Type Medium,,Cloud Type Medium,MET,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
786,Cloud Type High,,Cloud Type High,MET,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
790,Dummy,,Dummy,OTH,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
792,Cloud Direction Low,,Cloud Direction Low,MET,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
794,Cloud Direction Medium,,Cloud Direction Medi,MET,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
796,Cloud Direction High,,Cloud Direction High,MET,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
799,Nutrient Concentration (mg/l),mg/l,Nutrient Concentrati,OTH,0.01,2,LEVEL,MGL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
800,Salinity (Total Dissolved Salts) (mg/l),mg/l,TDS (mg/l),WQ,0.1,1,LEVEL,MGL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
801,Total Salt Transport (mg/s),mg/sec,Total Salt Transport,WQ,0.001,3,RATE,MGS,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
802,Salt Load (calc from MDFs) (t),tonnes,Salt Load (calc from,OTH,0.001,3,TOTAL,TONN,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
803,Salt Transport (calc from MDFs) (t/d),tonnes/day,Salt Transport (calc,OTH,0.001,3,RATE,TOND,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
804,Salt Transport (t/d),tonnes/day,Salt Transport (t/d),WQ,0.001,3,RATE,TOND,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
805,Salt Load (t),tonnes,Salt Load (t),WQ,0.01,2,TOTAL,TONN,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
806,Total Phosphorus (mg/l),mg/l,Total Phosphorus (mg,OTH,0.01,2,LEVEL,MGL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
807,Total Nitrogen (mg/l),mg/l,Total Nitrogen (mg/l,OTH,0.01,2,LEVEL,MGL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
808,Kjeldahl Nitrogen (mg/l),mg/l,Kjeldahl Nitrogen (m,OTH,0.01,2,LEVEL,MGL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
809,Soluble Phosphate (mg/l),mg/l,Soluble Phosphate (m,OTH,0.01,2,LEVEL,MGL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
810,Turbidity (NTU),NTU,Turbidity (NTU),WQ,0.1,1,LEVEL,NTU,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
811,Phosphorus Transport (t/d),tonnes/day,Phosphorus Transport,OTH,0.001,3,RATE,TOND,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
812,Phosphorus Load (t),tonnes,Phosphorus Load (t),OTH,0.01,2,TOTAL,TONN,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
813,Phosphorus (mg),milligrams,Phosphorus (mg),OTH,0.01,2,TOTAL,MG,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
814,Nitrate & Nitrite Transport (t/d),tonnes/day,Nitrate & Nitrite Tr,OTH,0.001,3,RATE,TOND,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
815,Nitrate & Nitrite Load (t),tonnes,Nitrate & Nitrite Lo,OTH,0.01,2,TOTAL,TONN,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
816,Nitrate & Nitrite (mg),milligrams,Nitrate & Nitrite (m,OTH,0.01,2,TOTAL,MG,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
819,EC @ Field Temp Unadjusted (\181S/cm),\181S/cm,EC @ Temp (\181S/cm),OTH,0.000001,6,LEVEL,MISC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
820,Conductivity (\181S/cm),\181S/cm@25\176C,EC@25C (\181S/cm),OTH,0.1,1,LEVEL,MISC,T,,,,,,F,,0,,20/12/2011,1639,RCUMMING
822,Envirogen code 822,,Envirogen code 822,OTH,0.000001,6,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
823,Envirogen code 823,,Envirogen code 823,OTH,0.000001,6,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
824,Envirogen code 824,,Envirogen code 824,OTH,0.000001,6,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
825,Salt Load (kg/d),kg/day,Salt Load (kg/d),OTH,0.00001,5,RATE,KGD,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
826,Salt Transport (calc from MDFs) (kg/d),kg/day,Salt Transport (calc,OTH,0.001,3,RATE,KGD,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
827,Envirogen code 827,,Envirogen code 827,OTH,0.000001,6,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
828,Envirogen code 828,,Envirogen code 828,OTH,0.000001,6,LEVEL,SCAL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
829,Envirogen code 829,,Envirogen code 829,OTH,0.000001,6,LEVEL,SCAL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
830,Sediment Yield (t/d),tonnes/day,Sediment Yield (t/d),WQ,0.000001,6,RATE,TOND,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
831,Nutrient Load (mg/sec),mg/sec,Nutrient Load (mg/se,OTH,0.000001,6,RATE,MGS,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
836,Total Phosphorous load (kg),kg,Total Phosphorous lo,OTH,0.01,2,TOTAL,KG,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
837,Total Nitrogen load (kg),kg,Total Nitrogen load,OTH,0.01,2,TOTAL,KG,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
838,Kjehdahl Nitrogen load (kg),kg,Kjehdahl Nitrogen lo,OTH,0.01,2,TOTAL,KG,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
839,Soluble Phosphorous load (kg),kg,Soluble Phosphorous,OTH,0.01,2,TOTAL,KG,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
840,Sewer Discharge (m3/s),cubic metres/second,Sewer Discharge (m3/,SEW,0.001,3,RATE,CUMC,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
841,Sewer Discharge logged (l/s),litres/second,Sewer Discharge logg,SEW,0.001,3,RATE,LS,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
842,Sewer Discharge Volume logged (kl),kilolitres,Sewer Discharge Volu,OTH,0.0001,4,TOTAL,KL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
844,Sewer Discharge (Ml/d),megalitres/day,Sewer Discharge (Ml/,SEW,0.0001,4,RATE,MLD,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
845,Total Suspended Solids (mg/l),mg/l,Total Suspended Soli,WQ,0.00001,5,LEVEL,MGL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
846,Colebrook-White K variable (mm),mm,Colebrook-White K va,SEW,0.001,3,LEVEL,MM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
850,Bedload Transport (t/d),tonnes/day,Bedload Transport (t,WQ,0.000001,6,RATE,TOND,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
851,Transport (kg/d),kg/day,Transport (kg/d),OTH,1,0,RATE,KGD,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
852,Load (kg),kg,Load (kg),OTH,0.01,2,TOTAL,KG,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
853,Transport (kg/d),kg/day,Transport (kg/d),OTH,0.00001,5,RATE,KGD,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
854,Load (kg),kg,Load (kg),OTH,0.01,2,TOTAL,KG,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
860,Ammonia (ppm),ppm,Ammonia (ppm),OTH,0.001,3,LEVEL,MGL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
865,Sulphur Dioxide (ppb),ppb,Sulphur Dioxide (ppb,OTH,0.01,2,RATE,PPB,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
866,Sulphur Dioxide (ppm),ppm,Sulphur Dioxide (ppm,OTH,0.01,2,RATE,PPM,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
867,Sulphur Dioxide - 8 hour roll ave (ppm),ppm,Sulphur Dioxide - 8,OTH,0.000001,6,LEVEL,PPM,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
868,Sulphur Dioxide - 24 hour ave (ppm),ppm,Sulphur Dioxide - 24,OTH,0.01,2,RATE,PPM,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
870,Pump Status,,Pump Status,SEW,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
871,Pump Time (min),minutes,Pump Time (min),SEW,0.00001,5,TOTAL,MIN,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
872,Pump Time (s),seconds,Pump Time (s),SEW,0.00001,5,LEVEL,SEC,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
873,Pump Time (h),hours,Pump Time (h),SEW,0.00001,5,TOTAL,HOUR,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
880,Pump Discharge (l/s),litres/second,Pump Discharge (l/s),SEW,0.00001,5,LEVEL,LS,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
881,Pump Discharge (m3/s),cubic metres/second,Pump Discharge (m3/s,SEW,0.00001,5,LEVEL,CUMC,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
882,Inflow (l/s),litres/second,Inflow (l/s),SEW,0.00001,5,LEVEL,LS,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
883,Inflow (m3/s),cubic metres/second,Inflow (m3/s),SEW,0.00001,5,LEVEL,CUMC,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
884,Pump Rate (l/s),litres/second,Pump Rate (l/s),SEW,0.00001,5,LEVEL,LS,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
890,Pumped Volume (l),litres,Pumped Volume (l),SEW,0.001,3,TOTAL,L,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
891,Pumped Volume (m3),m3,Pumped Volume (m3),SEW,0.001,3,TOTAL,M3,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
892,Pumped Volume (kl),kilolitres,Pumped Volume (kl),OTH,0.001,3,TOTAL,KL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
894,Sewer Pump Station Delivery Pressure BCC,metres,Sewer Pump Station D,OTH,0.001,3,LEVEL,M,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
896,Pump Speed (%),%,Pump Speed (%),OTH,0.001,3,LEVEL,PERC,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
900,Deviation from Mean (%),%,Deviation from Mean,OTH,0.00001,5,LEVEL,PERC,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
910,Error,stage,Error,OTH,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
920,Error,discharge,Error,OTH,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
921,Gauging Uncertainty (%),%,Gauging Uncertainty,SW,0.00001,5,LEVEL,PERC,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
930,Processing Error,stage,Processing Error,OTH,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
950,Combined Error,stage,Combined Error,OTH,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
960,Meter revolutions per second,revs/sec,Meter revolutions pe,OTH,0.00001,5,LEVEL,SEC,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
961,Velocity (m/s),m/s,Velocity (m/s),SW,0.00001,5,LEVEL,MS,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
970,Time,days,Time,OTH,0.0001,4,LEVEL,DAY,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
971,Quality,HYDSYS,Quality,OTH,1,0,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
972,Poll Frequency (polls/d),polls/day,Poll Frequency (poll,MAN,0.00001,5,LEVEL,PERD,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
975,Travel Time (h),hours,Travel Time (h),SW,0.00001,5,LEVEL,HOUR,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
980,Rainfall Duration (min),minutes,Rainfall Duration (m,MET,0.001,3,LEVEL,MIN,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
981,Max Rainfall Intensity 1 Year ARI (mm/h),mm/hour,Max Rainfall Intensi,MET,0.001,3,LEVEL,MMH,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
982,Max Rainfall Intensity 2 Year ARI (mm/h),mm/hour,Max Rainfall Intensi,MET,0.001,3,LEVEL,MMH,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
983,Max Rainfall Intensity 5 Year ARI (mm/h),mm/hour,Max Rainfall Intensi,MET,0.001,3,LEVEL,MMH,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
984,Max Rainfall Intensity 10 Year ARI (mm/h,mm/hour,Max Rainfall Intensi,MET,0.001,3,LEVEL,MMH,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
985,Max Rainfall Intensity 20 Year ARI (mm/h,mm/hour,Max Rainfall Intensi,MET,0.001,3,LEVEL,MMH,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
986,Max Rainfall Intensity 50 Year ARI (mm/h,mm/hour,Max Rainfall Intensi,MET,0.001,3,LEVEL,MMH,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
987,Max Rainfall Intensity 100 Year ARI (mm/,mm/hour,Max Rainfall Intensi,MET,0.001,3,LEVEL,MMH,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
988,Max Rainfall Intensity 1000 Year ARI (mm,mm/hour,Max Rainfall Intensi,MET,0.00001,5,LEVEL,MMH,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
990,Cross-section to HYDSYS file,metres = 1000 mins,Cross-section to HYD,OTH,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
992,Period-based VarFrom,,Period-based VarFrom,OTH,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
996,Date for Population Tables,YYYY.MMDD,Date for Population,OTH,0.0001,4,LEVEL,DAY,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
997,Population,People,Population,OTH,1,0,TOTAL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
998,Catchment Area (km2),km2,Catchment Area (km2),OTH,0.001,3,LEVEL,KM2,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
999,Number of turns of valve (turns),turns,Number of turns of v,MAN,0.1,1,RATE,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1100,CAIRO Stream Level (m),metres,CAIRO Stream Level (,DAM,0.00001,5,LEVEL,M,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1117,Turbidity NTU (NTU),NTU,Turbidity NTU (NTU),OTH,0.01,2,LEVEL,SCAL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1118,Potential Hydrogen (pH),pH Units,Potential Hydrogen (,OTH,0.001,3,LEVEL,SCAL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1130,CAIRO Storage Elevation (m),metres,CAIRO Storage Elevat,DAM,0.00001,5,LEVEL,M,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1134,CAIRO Storage Release (Ml/d),megalitres/day,CAIRO Storage Releas,DAM,0.00001,5,LEVEL,MLD,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1136,CAIRO Storage Capacity (Ml),megalitres,CAIRO Storage Capaci,DAM,0.00001,5,LEVEL,ML,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1139,CAIRO Storage Inflow (Ml/d),megalitres/day,CAIRO Storage Inflow,DAM,0.00001,5,LEVEL,MLD,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1141,CAIRO Stream Discharge (m),metres,CAIRO Stream Dischar,DAM,0.00001,5,LEVEL,M,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1200,NOISE - LMAX (dB),dB,NOISE - LMAX (dB),OTH,0.000001,6,LEVEL,DBEL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1201,NOISE - L1 (dB),dB,NOISE - L1 (dB),OTH,0.000001,6,LEVEL,DBEL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1202,NOISE - L5 (dB),dB,NOISE - L5 (dB),OTH,0.000001,6,LEVEL,DBEL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1203,NOISE - L10 (dB),dB,NOISE - L10 (dB),OTH,0.000001,6,LEVEL,DBEL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1204,NOISE - L50 (dB),dB,NOISE - L50 (dB),OTH,0.000001,6,LEVEL,DBEL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1205,NOISE - L90 (dB),dB,NOISE - L90 (dB),OTH,0.000001,6,LEVEL,DBEL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1206,NOISE - L95 (dB),dB,NOISE - L95 (dB),OTH,0.000001,6,LEVEL,DBEL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1207,NOISE - L99 (dB),dB,NOISE - L99 (dB),OTH,0.000001,6,LEVEL,DBEL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1208,NOISE - LMIN (dB),dB,NOISE - LMIN (dB),OTH,0.000001,6,LEVEL,DBEL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1209,NOISE - LEQ (dB),dB,NOISE - LEQ (dB),OTH,0.000001,6,LEVEL,DBEL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1210,Peak particle velocity (mm/s),mm/sec,Peak particle veloci,OTH,0.000001,6,RATE,MMS,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1220,Dissolved Oxygen (mg/l),mg/l,Dissolved Oxygen (mg,OTH,0.0001,4,LEVEL,MGL,T,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1990,CAIRO Full Capacity (Ml),megalitres,CAIRO Full Capacity,DAM,0.00001,5,LEVEL,ML,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1991,CAIRO Dead Storage (Ml),megalitres,CAIRO Dead Storage (,DAM,0.00001,5,LEVEL,ML,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1992,CAIRO Full Supply Level (%),percent,CAIRO Full Supply Le,OTH,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
1996,CAIRO Time,,CAIRO Time,DAM,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
2001,Water Level (Siphonic) Stage I (m),metres,Water Level (Siphoni,WQ,0.00001,5,LEVEL,M,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
2002,Water Level (Siphonic) Stage II (m),metres,Water Level (Siphoni,WQ,0.00001,5,LEVEL,M,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
2003,Water Level (Siphonic) Stage III (m),metres,Water Level (Siphoni,WQ,0.00001,5,LEVEL,M,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
2004,Water Level (Siphonic) Stage IV (m),metres,Water Level (Siphoni,WQ,0.00001,5,LEVEL,M,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
2005,Salt Load Rate (kg/d),kg/day,Salt Load Rate (kg/d,OTH,0.00001,5,LEVEL,SCAL,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
2006,Salt Load Rate (t/d),tonnes/day,Salt Load Rate (t/d),WQ,0.00001,5,LEVEL,TOND,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
2007,Total Salt Load (t),tonnes,Total Salt Load (t),WQ,0.00001,5,LEVEL,TONN,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
2008,Total Salt Load (mg),milligrams,Total Salt Load (mg),WQ,0.00001,5,LEVEL,MG,F,,,,,,F,,0,,14/11/2011,1030,SPETCHEL
